Date,Contract,pre close,Pre settle,Open,High,Low,Close,Settle,ch1,ch2,Volume,Amount,OI,MACD DIF,MACD DEA,MACD M
2023-01-17,au2402,419.98,419.98,421.14,421.38,421.14,421.38,421.26,1.4,1.28,2,84.252,2,0.0,0.0,0.0
2023-01-18,au2402,421.38,421.26,421.6,423.34,419.32,419.32,420.88,-1.94,-0.38,6,252.538,8,-0.16433048433054864,-0.03286609686610973,-0.26292877492887784
2023-01-19,au2402,419.32,420.88,422.24,423.22,420.58,422.18,422.06,1.3,1.18,40,1688.258,27,-0.0630585790700593,-0.038904593306899646,-0.0483079715263193
2023-01-20,au2402,422.18,422.06,422.18,426.18,422.18,425.94,424.58,3.88,2.52,31,1316.224,43,0.3169471424767494,0.032265753849830166,0.5693627772538384
2023-01-30,au2402,425.94,424.58,420.08,428.68,420.08,425.36,424.66,0.78,0.08,51,2165.826,59,0.5647926833754582,0.13877113975495578,0.8520430872410047
2023-01-31,au2402,425.36,424.66,424.74,424.82,422.5,422.84,423.76,-1.82,-0.9,34,1440.842,68,0.5515116378302878,0.22131923937002218,0.6603847969205312
2023-02-01,au2402,422.84,423.76,421.82,425.1,421.68,424.26,423.96,0.5,0.2,122,5172.372,122,0.6480975806330207,0.3066749076226219,0.6828453460207976
2023-02-02,au2402,424.26,423.96,425.22,428.36,423.98,427.58,426.92,3.62,2.96,77,3287.288,134,0.981227905271794,0.44158550715245637,1.0792847962386753
2023-02-03,au2402,427.58,426.92,428.28,428.58,422.0,423.12,424.22,-3.8,-2.7,93,3945.386,148,0.8752618871936306,0.5283207831606913,0.6938822080658786
2023-02-06,au2402,423.12,424.22,422.18,422.2,416.22,417.48,417.8,-6.74,-6.42,218,9108.362,193,0.33235105380265395,0.48912683728908385,-0.3135515669728598
2023-02-07,au2402,417.48,417.8,417.16,417.16,415.96,416.82,416.62,-0.98,-1.18,42,1749.854,203,-0.14944348579206235,0.36141277267285465,-1.021712516929834
2023-02-08,au2402,416.82,416.62,415.68,417.12,415.34,416.46,416.1,-0.16,-0.52,41,1706.016,212,-0.5539327292262328,0.17834367229303716,-1.46455280303854
2023-02-09,au2402,416.46,416.1,416.36,417.26,415.78,417.08,416.82,0.98,0.72,45,1875.69,220,-0.8150689429797353,-0.02033885076151734,-1.589460184436436
2023-02-10,au2402,417.08,416.82,416.94,417.78,413.74,414.42,415.1,-2.4,-1.72,86,3569.926,218,-1.2225680398751706,-0.260784688584248,-1.9235667025818453
2023-02-13,au2402,414.42,415.1,415.6,417.0,415.2,416.98,416.14,1.88,1.04,31,1290.044,223,-1.3236847905496347,-0.4733647089773254,-1.7006401631446186
2023-02-14,au2402,416.98,416.14,415.94,416.38,414.74,416.38,415.38,0.24,-0.76,32,1329.238,228,-1.4356858369122847,-0.6658289345643174,-1.5397138046959347
2023-02-15,au2402,416.38,415.38,416.06,417.06,414.52,415.24,415.92,-0.14,0.54,80,3327.432,228,-1.598015023242965,-0.852266152300047,-1.4914977418858362
2023-02-16,au2402,415.24,415.92,414.02,414.74,413.72,414.62,414.06,-1.3,-1.86,43,1780.52,225,-1.7564437017271644,-1.0331016621854705,-1.4466840790833877
